课程号,课序号,课程名,开课系所,容量,选课人数,余量,总学时,学分,星期,节次,持续节次,上课地点,上课周次,教师号1,教师名1,教师号2,教师名2,面向学生
00S052T,07,科技文献检索,其他部处,80,80,0,16,1,2,6,2,主校区思源东楼SD107,9-16周,6356,邓要武,,,
00S052T,08,科技文献检索,其他部处,80,10,70,16,1,3,1,2,主校区思源东楼SD203,9-16周,7700,赵秀姣,,,
00S052T,09,科技文献检索,其他部处,80,78,2,16,1,5,6,2,主校区逸夫教学楼YF406,9-16周,7700,赵秀姣,,,
00S052T,10,科技文献检索,其他部处,80,43,37,16,1,3,1,2,主校区思源东楼SD107,1-8周,7804,崔雁,,,
00S052T,11,科技文献检索,其他部处,80,80,0,16,1,4,6,2,主校区逸夫教学楼YF106,1-8周,7804,崔雁,,,
00S052T,12,科技文献检索,其他部处,80,13,67,16,1,3,1,2,主校区思源东楼SD108,9-16周,8004,夏杨,,,
00S052T,13,科技文献检索,其他部处,80,70,10,16,1,5,6,2,主校区逸夫教学楼YF106,9-16周,8004,夏杨,,,
00S052T,14,科技文献检索,其他部处,80,10,70,16,1,3,1,2,主校区思源东楼SD206,9-16周,6851,刘春霞,,,
00S055T,01,队列II,选培办,67,0,67,32,1,2,1,2,主校区逸夫教学楼YF208,1-8周,xpb,选培办,,,
00S055T,01,队列II,选培办,67,0,67,32,1,5,1,2,主校区逸夫教学楼YF208,1-8周,xpb,选培办,,,
00S057T,01,军事体育II,选培办,67,0,67,32,1,5,1,2,主校区逸夫教学楼YF104,1-8周,xpb,选培办,,,
00S057T,01,军事体育II,选培办,67,0,67,32,1,2,1,2,主校区逸夫教学楼YF104,1-8周,xpb,选培办,,,
00S084T,01,主要实验室及功能介绍-A1,其他部处,20,20,0,16,1,1,5,2,主校区不要教室,1-8周,kjc,实践教师,,,
00S084T,02,主要实验室及功能介绍-A1,其他部处,20,20,0,16,1,1,5,2,主校区不要教室,9-16周,kjc,实践教师,,,
00S085T,01,主要实验室及功能介绍-A2,其他部处,20,20,0,16,1,2,5,2,主校区不要教室,1-8周,kjc,实践教师,,,
00S085T,02,主要实验室及功能介绍-A2,其他部处,20,20,0,16,1,2,5,2,主校区不要教室,9-16周,kjc,实践教师,,,
